Protocol timestamp, Sensor Distance0, Sensor Distance2
     15.117500,   -1.93429, -13.05891
     15.118000,   -1.83349, -13.07682
     15.118500,   -1.73503, -13.09238
     15.119000,   -1.63812, -13.10639
     15.119500,   -1.54315, -13.11963
     15.120000,   -1.45053, -13.13130
     15.120500,   -1.35946, -13.14142
     15.121000,   -1.27072, -13.14998
     15.121500,   -1.18393, -13.15621
     15.122000,   -1.09947, -13.15777
     15.122500,   -1.01658, -13.15777
     15.123000,   -0.93640, -13.15777
     15.123500,   -0.85778, -13.15777
     15.124000,   -0.78189, -13.15777
     15.124500,   -0.70833, -13.15543
     15.125000,   -0.63672, -13.15232
     15.125500,   -0.56745, -13.14843
     15.126000,   -0.50089, -13.14298
     15.126500,   -0.43629, -13.13597
     15.127000,   -0.37402, -13.12819
     15.127500,   -0.31447, -13.11885
     15.128000,   -0.25726, -13.10873
     15.128500,   -0.20238, -13.09705
     15.129000,   -0.14984, -13.08538
     15.129500,   -0.09963, -13.07370
     15.130000,   -0.05215, -13.05736
     15.130500,   -0.00701, -13.04179
     15.131000,    0.03542, -13.02233
     15.131500,    0.07550, -13.00131
     15.132000,    0.11326, -12.97874
     15.132500,    0.14867, -12.95461
     15.133000,    0.18136, -12.92737
     15.133500,    0.21133, -12.89623
     15.134000,    0.23897, -12.86665
     15.134500,    0.26426, -12.83707
     15.135000,    0.28684, -12.80516
     15.135500,    0.30707, -12.77480
     15.136000,    0.32459, -12.74834
     15.136500,    0.33938, -12.71876
     15.137000,    0.35144, -12.68062
     15.137500,    0.36117, -12.63625
     15.138000,    0.36857, -12.59811
     15.138500,    0.37285, -12.55841
     15.139000,    0.37479, -12.51560
     15.139500,    0.37440, -12.47357
     15.140000,    0.37129, -12.42686
     15.140500,    0.36545, -12.38016
     15.141000,    0.35728, -12.33657
     15.141500,    0.34638, -12.28520
     15.142000,    0.33315, -12.23694
     15.142500,    0.31719, -12.18323
     15.143000,    0.29929, -12.13886
     15.143500,    0.27866, -12.09215
     15.144000,    0.25531, -12.05090
     15.144500,    0.23001, -12.01042
     15.145000,    0.20199, -11.96528
     15.145500,    0.17163, -11.92247
     15.146000,    0.13894, -11.87576
     15.146500,    0.10391, -11.83139
     15.147000,    0.06655, -11.78002
     15.147500,    0.02685, -11.73410
     15.148000,   -0.01557, -11.68039
     15.148500,   -0.05994, -11.62279
     15.149000,   -0.10703, -11.57141
     15.149500,   -0.15646, -11.50447
     15.150000,   -0.20822, -11.44609
     15.150500,   -0.26232, -11.37759
     15.151000,   -0.31875, -11.31532
     15.151500,   -0.37752, -11.24916
     15.152000,   -0.43901, -11.17988
     15.152500,   -0.50245, -11.11294
     15.153000,   -0.56861, -11.03900
     15.153500,   -0.63672, -10.96972
     15.154000,   -0.70717, -10.89266
     15.154500,   -0.78033, -10.82260
